,Sneaker Name,Shoe Size,Retail Price,Resell Price,Release Date,Order Date,Red,Black,White,Green,Neo,Orange,Tan/Brown,Pink,Blue,Colorful,release_season,release_year,order_season,order_year
0,adidas-yeezy-boost-350-low-v2-beluga,4.0,220,746.5,2016-09-24,2017-09-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
1,adidas-yeezy-boost-350-low-v2-beluga,6.0,220,897.5,2016-09-24,2017-09-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
2,adidas-yeezy-boost-350-low-v2-beluga,6.5,220,900.0,2016-09-24,2017-09-25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
3,adidas-yeezy-boost-350-low-v2-beluga,7.0,220,795.0,2016-09-24,2017-09-15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
4,adidas-yeezy-boost-350-low-v2-beluga,7.5,220,832.0,2016-09-24,2017-09-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
5,adidas-yeezy-boost-350-low-v2-beluga,8.0,220,860.5,2016-09-24,2017-09-02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
6,adidas-yeezy-boost-350-low-v2-beluga,8.5,220,915.0,2016-09-24,2017-09-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
7,adidas-yeezy-boost-350-low-v2-beluga,9.0,220,972.5,2016-09-24,2017-09-04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
8,adidas-yeezy-boost-350-low-v2-beluga,9.5,220,979.5,2016-09-24,2017-09-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
9,adidas-yeezy-boost-350-low-v2-beluga,10.0,220,1068.0,2016-09-24,2017-09-03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
10,adidas-yeezy-boost-350-low-v2-beluga,10.5,220,987.75,2016-09-24,2017-09-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
11,adidas-yeezy-boost-350-low-v2-beluga,11.0,220,1069.0,2016-09-24,2017-09-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
12,adidas-yeezy-boost-350-low-v2-beluga,11.5,220,1133.3333333333333,2016-09-24,2017-09-11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
13,adidas-yeezy-boost-350-low-v2-beluga,12.0,220,1139.0,2016-09-24,2017-09-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Fall 2016,2016,Fall 2016,2017
14,adidas-yeezy-boost-350-v2-beluga-2pt0,4.0,220,349.5090252707581,2017-11-25,2017-11-24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
15,adidas-yeezy-boost-350-v2-beluga-2pt0,4.5,220,409.1904761904762,2017-11-25,2017-11-25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
16,adidas-yeezy-boost-350-v2-beluga-2pt0,5.0,220,371.6474820143885,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
17,adidas-yeezy-boost-350-v2-beluga-2pt0,5.5,220,403.50267379679144,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
18,adidas-yeezy-boost-350-v2-beluga-2pt0,6.0,220,401.75615763546796,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
19,adidas-yeezy-boost-350-v2-beluga-2pt0,6.5,220,453.56375838926175,2017-11-25,2017-11-22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Fall 2017,2017,Fall 2017,2017
